UA	Pragas	Cultivo
1	46	Refúgio
2	19	Agroflorestal
3	27	Agroflorestal
4	55	Ausente
5	72	Ausente
6	87	Ausente
7	41	Agroflorestal
8	28	Agroflorestal
9	63	Ausente
10	45	Mata
11	39	Agroflorestal
12	57	Refúgio
13	35	Agroflorestal
14	57	Mata
15	39	Mata
16	75	Ausente
17	52	Mata
18	43	Mata
19	70	Ausente
20	17	Agroflorestal
21	46	Refúgio
22	63	Ausente
23	44	Mata
24	38	Mata
25	13	Agroflorestal
26	52	Mata
27	29	Refúgio
28	29	Agroflorestal
29	63	Ausente
30	43	Mata
31	36	Mata
32	50	Refúgio
33	54	Ausente
34	57	Mata
35	84	Ausente
36	42	Refúgio
37	41	Agroflorestal
38	58	Mata
39	60	Refúgio
40	12	Agroflorestal
41	59	Ausente
42	85	Ausente
43	30	Agroflorestal
44	65	Ausente
45	61	Refúgio
46	46	Refúgio
47	38	Refúgio
48	58	Ausente
49	43	Mata
50	51	Mata
51	36	Refúgio
52	39	Refúgio
53	38	Agroflorestal
54	52	Refúgio
55	84	Ausente
56	53	Refúgio
57	23	Agroflorestal
58	54	Mata
