Ambiente	Espécie	Comprimento	Manchas
Primário	sp1	46	1
Primário	sp1	50	4
Primário	sp1	45	1
Primário	sp1	44	1
Primário	sp1	55	2
Primário	sp1	49	2
Secundário	sp1	43	3
Secundário	sp1	52	1
Primário	sp1	47	1
Primário	sp1	52	1
Primário	sp1	46	1
Secundário	sp1	59	2
Secundário	sp1	46	2
Secundário	sp1	53	3
Secundário	sp1	50	2
Secundário	sp1	51	2
Secundário	sp1	38	1
Secundário	sp1	44	3
Secundário	sp1	47	2
Secundário	sp1	40	1
Secundário	sp1	45	1
Primário	sp1	47	2
Primário	sp1	49	2
Primário	sp1	52	1
Primário	sp1	55	3
Primário	sp1	49	1
Primário	sp1	55	1
Primário	sp1	52	2
Secundário	sp1	38	1
Secundário	sp1	51	2
Secundário	sp2	80	2
Secundário	sp2	80	1
Secundário	sp2	82	1
Secundário	sp2	85	4
Secundário	sp2	69	3
Secundário	sp2	76	2
Secundário	sp2	89	1
Secundário	sp2	81	3
Secundário	sp2	75	2
Secundário	sp2	86	4
Secundário	sp2	85	2
Secundário	sp2	79	2
Primário	sp2	89	2
Primário	sp2	88	1
Secundário	sp2	77	2
Secundário	sp2	76	2
Secundário	sp2	89	1
Secundário	sp2	73	4
Secundário	sp2	81	3
Secundário	sp2	71	4
Secundário	sp2	85	3
Secundário	sp2	73	2
Primário	sp2	84	3
Primário	sp2	79	1
Primário	sp2	69	2
Primário	sp2	85	2
Primário	sp2	81	2
Secundário	sp2	76	4
Secundário	sp2	76	1
Secundário	sp3	49	6
Secundário	sp3	58	1
Secundário	sp3	57	1
Secundário	sp3	56	2
Secundário	sp3	59	1
Secundário	sp3	26	1
Primário	sp3	54	2
Primário	sp3	58	2
Secundário	sp3	43	3
Secundário	sp3	70	2
Secundário	sp3	50	3
Secundário	sp3	64	3
Secundário	sp3	59	2
Secundário	sp3	66	1
Secundário	sp3	83	2
Secundário	sp3	78	3
Secundário	sp3	59	2
Secundário	sp3	45	1
Secundário	sp3	62	2
Secundário	sp3	77	1
Secundário	sp3	51	4
Secundário	sp3	63	2
Primário	sp3	52	2
Primário	sp3	73	2
Primário	sp3	42	2
Primário	sp3	72	3
Primário	sp3	78	2
Primário	sp3	35	2
Primário	sp3	35	4
